Book ID,Title,Author,Authors,Author IDs,Category,Bookshelf,Language,Release Date,Most Recently Updated,Downloads,Download Link,Is Public Domain,Description,Cover URLs
1952,The Yellow Wallpaper by Charlotte Perkins Gilman,"Gilman, Charlotte Perkins, 1860-1935","Gilman, Charlotte Perkins, 1860-1935",27,"2430, 2532, 2603, 2766, 2767", 39,English,"Nov 1, 1999","May 11, 2021",12906,https://www.gutenberg.org/ebooks/1952.epub.noimages,True,No description available,"https://m.media-amazon.com/images/I/61AUf7VJ+OL._AC_UF1000,1000_QL80_.jpg, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1351778524i/286957.jpg, https://m.media-amazon.com/images/I/A13YcNX3KxL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/81w40WGT9xL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/91CTajZSsZL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/81Uvvo8qRUL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/91klj5LStsL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/51-wj7lBpwL.jpg, https://m.media-amazon.com/images/I/511WUsM6mRL.jpg"
20932,Advice to a Young Man upon First Going to Oxford by Edward Berens,"Berens, Edward, 1777?-1859","Berens, Edward, 1777?-1859",9615,"12138, 12139",,English,"Mar 29, 2007","Feb 4, 2018",362,https://www.gutenberg.org/ebooks/20932.epub.noimages,True,No description available,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1386439095i/19266869.jpg
219,Heart of Darkness by Joseph Conrad,"Conrad, Joseph, 1857-1924","Conrad, Joseph, 1857-1924",125,"130, 2426, 2427, 2428, 2429, 2430"," 13, 49",English,"Jan 9, 2006","Mar 31, 2021",9860,https://www.gutenberg.org/ebooks/219.epub.noimages,True,No description available,"https://m.media-amazon.com/images/I/71B2HtDDTwL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/51o4wCxCTYL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/71zGBbh18eL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/51Gq55TLdXL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/91tLW+H7oML._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/91mFQ674GTL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/51Vtk0u64AL.jpg"
16,Peter Pan by J. M. Barrie,"Barrie, J. M. (James Matthew), 1860-1937","Barrie, J. M. (James Matthew), 1860-1937",10,"46, 3235, 3236, 3243, 9210"," 20, 49",English,"Jun 25, 2008","Feb 15, 2021",8578,https://www.gutenberg.org/ebooks/16.epub.noimages,True,No description available,"https://m.media-amazon.com/images/I/81ph5ghkGXL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/71jeXdikQWL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/61-tdX9zXcL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/51IUseVTPKL.jpg, https://m.media-amazon.com/images/I/71bg0C-1x3L._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/51EciOLkhSL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/61R6IwkY02L._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/61Z3rOp+dXL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/715gpEQzAvL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/71ryeLUqTmL._AC_UF1000,1000_QL80_.jpg"
135,Les Misérables by Victor Hugo,"Hugo, Victor, 1802-1885","Hugo, Victor, 1802-1885, Hapgood, Isabel Florence, 1850-1928","85, 33608","60, 99, 2719, 3538, 5827"," 41, 336",English,"Jun 22, 2008","Jul 20, 2021",7302,https://www.gutenberg.org/ebooks/135.epub.noimages,True,No description available,"https://m.media-amazon.com/images/I/81og-iu0sqL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/8111pJSWSnL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/81X4gUbRALL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/81e1NPAQJmL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/91p594CxSpL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/81W-ViUhNiL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/51Ma6ZudwAL.jpg, https://m.media-amazon.com/images/I/91VpxYHNrvL._AC_UF1000,1000_QL80_.jpg"
3296,The Confessions of St. Augustine by Bishop of Hippo Saint Augustine,"Augustine, Saint, Bishop of Hippo, 354-430","Augustine, Saint, Bishop of Hippo, 354-430, Pusey, E. B. (Edward Bouverie), 1800-1882","1156, 1157","1298, 1299, 20301, 20302"," 24, 40, 119",English,"Jun 1, 2002","May 5, 2023",5345,https://www.gutenberg.org/ebooks/3296.epub.noimages,True,No description available,"https://m.media-amazon.com/images/I/4104QVGKONL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/51mSpZS4sTL.jpg, https://m.media-amazon.com/images/I/61fpjpDFAtL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/31bMskA5v-L._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/71HxqVuig6L._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/51Vg+Kf2LrL.jpg, https://m.media-amazon.com/images/I/91VsGQJTVEL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/713MlBp22KL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/61uKdbgMw1L._AC_UF1000,1000_QL80_.jpg"
1400,Great Expectations by Charles Dickens,"Dickens, Charles, 1812-1870","Dickens, Charles, 1812-1870",37,"99, 1702, 1703, 2536, 2540, 3173, 5827, 8767", 13,English,"Jul 1, 1998","Oct 8, 2023",13207,https://www.gutenberg.org/ebooks/1400.epub.noimages,True,No description available,"https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1631687432i/2623.jpg, https://m.media-amazon.com/images/I/71+y2vNHwpL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/91i06N9MstL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/8117SqBAjkL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/5148IUT5s7L.jpg, https://m.media-amazon.com/images/I/91rK5X6zOlL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/81YCWqxP5GL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/414fZ8HDcPL.jpg"
73869,Farewell message by David Mason,"Mason, David, 1924-1974","Mason, David, 1924-1974",26303,"36, 94, 4575, 35120",,English,"Jun 19, 2024",No recently updated date available,785,https://www.gutenberg.org/ebooks/73869.epub.noimages,True,No description available,No cover URLs available
6593,"History of Tom Jones, a Foundling by Henry Fielding","Fielding, Henry, 1707-1754","Fielding, Henry, 1707-1754",537,"511, 1702, 2536, 2540, 2599, 3250"," 13, 40, 49, 336",English,"Sep 1, 2004","Feb 26, 2021",40745,https://www.gutenberg.org/ebooks/6593.epub.noimages,True,No description available,"https://m.media-amazon.com/images/I/71q-6QKJxtL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/419EG-+pVZL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/719yZYDdviL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/61LbkIIMsbL._AC_UF894,1000_QL80_.jpg, https://m.media-amazon.com/images/I/51iFPwdczmL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/71FDvtOAVtL._AC_UF1000,1000_QL80_.jpg"
16389,The Enchanted April by Elizabeth Von Arnim,"Von Arnim, Elizabeth, 1866-1941","Von Arnim, Elizabeth, 1866-1941",603,"2487, 2514, 2622, 2636, 2871", 159,English,"Jul 29, 2005","Jun 25, 2023",45328,https://www.gutenberg.org/ebooks/16389.epub.noimages,True,No description available,"https://m.media-amazon.com/images/I/71NLewlN9PL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/71+6oVLOP7L._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/71NLewlN9PL._AC_UF350,350_QL50_.jpg, https://m.media-amazon.com/images/I/71pVLFDrxhL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/61vzZDjNMBL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/S/aplus-media/kdp/ea225648-91a4-401e-91ef-6a08845504c2.__CR0,0,150,300_PT0_SX150_V1___.png"
1,The Declaration of Independence of the United States of America by Thomas Jefferson,"Jefferson, Thomas, 1743-1826","Jefferson, Thomas, 1743-1826",1638,"7955, 18521"," 61, 196, 302",English,"Dec 1, 1971","Jan 28, 2021",7238,https://www.gutenberg.org/ebooks/1.epub.noimages,True,No description available,"https://m.media-amazon.com/images/I/61JQOLCDGRL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/613j7DQ9cSL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/61vbbLCU8FL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/71pVFFjgJdL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/71AAbaLkyRL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/51NlIV3ObPL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/81efodHCt1L._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/71E5L7XZzmL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/71A-ij+mpZL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/71ZicY41+UL._AC_UF1000,1000_QL80_.jpg"
120,Treasure Island by Robert Louis Stevenson,"Stevenson, Robert Louis, 1850-1894","Stevenson, Robert Louis, 1850-1894, Rhead, Louis, 1857-1926","35, 44215","115, 3243, 3248, 3249"," 20, 41, 13, 58",English,"Feb 26, 2006","Mar 21, 2024",7908,https://www.gutenberg.org/ebooks/120.epub.noimages,True,No description available,"https://m.media-amazon.com/images/I/71yjDf4wo0L._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/81HXG-E+CwL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/81IeKg6N2-L._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/61rcwo1SEpL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/71f2oKcJ0RL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/81KtfspbH6L._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/51D9ikxncpL.jpg"
844,The Importance of Being Earnest: A Trivial Comedy for Serious People by Oscar Wilde,"Wilde, Oscar, 1854-1900","Wilde, Oscar, 1854-1900",111,"776, 2656, 12601, 18367", 59,English,"Mar 1, 1997","Feb 13, 2021",14497,https://www.gutenberg.org/ebooks/844.epub.noimages,True,No description available,"https://m.media-amazon.com/images/I/810VGIxBX3L._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/71rK2-uUmVL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/81KE9vpRjzL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/61cK7mYVKdL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/510aDLEC4BL.jpg, https://m.media-amazon.com/images/I/613D161Xy4L._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/51LeD4pDyxL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/61cmSQUje+L._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/416r-fmGj9L.jpg, http://prodimage.images-bn.com/pimages/2940156840557_p0_v1_s1200x630.jpg"
62636,To the Person Sitting in Darkness by Mark Twain,"Twain, Mark, 1835-1910","Twain, Mark, 1835-1910",53,"1203, 8656, 9747, 10714",,English,"Jul 13, 2020",No recently updated date available,18864,https://www.gutenberg.org/ebooks/62636.epub.noimages,True,No description available,"https://m.media-amazon.com/images/I/71665twqJNL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/51TUfQN+RRL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/71UZMqJr5yL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/61unw3QrABL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/41JXD7NCASL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/51ZCUuT1EiL.jpg, https://m.media-amazon.com/images/I/41C11KVY4XL._AC_UF1000,1000_QL80_.jpg, http://prodimage.images-bn.com/pimages/9788835867760_p0_v3_s1200x630.jpg"
73874,Le voyage imprévu :  roman by Tristan Bernard,"Bernard, Tristan, 1866-1947","Bernard, Tristan, 1866-1947",55824,16138,,French,"Jun 20, 2024",No recently updated date available,293,https://www.gutenberg.org/ebooks/73874.epub.noimages,True,No description available,No cover URLs available
7370,Second Treatise of Government by John Locke,"Locke, John, 1632-1704","Locke, John, 1632-1704",2447,"2745, 8076, 8077"," 57, 61",English,"Jan 1, 2005","Dec 25, 2021",5579,https://www.gutenberg.org/ebooks/7370.epub.noimages,True,No description available,"https://m.media-amazon.com/images/I/51TEC5zu9gL.jpg, https://m.media-amazon.com/images/I/81r--b5MLaL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/81uxZooIwnL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/61KXrIWLoCL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/71yGxKiy3cL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/91oBm1HlPwL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/91w4jgq60KL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/51MGEaTTi9L._AC_UF1000,1000_QL80_.jpg"
1232,The Prince by Niccolò Machiavelli,"Machiavelli, Niccolò, 1469-1527","Machiavelli, Niccolò, 1469-1527, Marriott, W. K. (William Kenaz), -1927","563, 564","4929, 18267, 18268"," 61, 40, 57, 336",English,"Feb 11, 2006","Jul 1, 2022",9498,https://www.gutenberg.org/ebooks/1232.epub.noimages,True,No description available,"https://m.media-amazon.com/images/I/71MwDS742tL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/71nEYHtBKmL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/813UeJ8ypZL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/71fFbIh-hLL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/71nRQZU-RFL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/51lDwI12uRL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/51WKfYQbC6L.jpg, https://m.media-amazon.com/images/I/51fwoKN3efL.jpg, https://m.media-amazon.com/images/I/71wQ6tFJRVL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/51jYTBhQZyL._AC_UF1000,1000_QL80_.jpg"
33283,Calculus Made Easy by Silvanus P. Thompson,"Thompson, Silvanus P. (Silvanus Phillips), 1851-1916","Thompson, Silvanus P. (Silvanus Phillips), 1851-1916",36308,10229, 102,English,"Jul 28, 2010","Nov 18, 2021",7307,,True,No description available,"https://m.media-amazon.com/images/I/61i76njk21L._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/71PrLjMbslL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/51sBDUFkeKL.jpg, https://m.media-amazon.com/images/I/71HgHjG3EvL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/61M-wYNCNKL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/51GsUEw0b1L._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/515JI96RnIL.jpg, https://m.media-amazon.com/images/I/714q8QRNvhL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/61ixbmurxaL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/719-hrzQrML._AC_UF1000,1000_QL80_.jpg"
1184,The Count of Monte Cristo by Alexandre Dumas and Auguste Maquet,"Maquet, Auguste, 1813-1888","Dumas, Alexandre, 1802-1870, Maquet, Auguste, 1813-1888","492, 3930","60, 1703, 2849, 3156, 3242, 3243, 3263"," 49, 82",English,"Jan 1, 1998","Feb 4, 2024",9899,https://www.gutenberg.org/ebooks/1184.epub.noimages,True,No description available,"https://m.media-amazon.com/images/I/51kuSstfWrL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/51q4SHznLiL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/51i0q1HWynL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/51Cd+xFoRhL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/513xgh+Nd3L._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/51N7zFaMh4L._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/51fZK1+XzjL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/41a0lww7Y+L._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/41IM9HMKsDL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/41vDDA3uGZL._AC_UF1000,1000_QL80_.jpg"
394,Cranford by Elizabeth Cleghorn Gaskell,"Gaskell, Elizabeth Cleghorn, 1810-1865","Gaskell, Elizabeth Cleghorn, 1810-1865, Brock, C. E. (Charles Edmund), 1870-1938","220, 26815","1702, 2489, 2633, 2634, 2635, 2636",,English,"Jan 1, 1996","Oct 29, 2022",41948,https://www.gutenberg.org/ebooks/394.epub.noimages,True,No description available,"https://m.media-amazon.com/images/I/41Z2anhK8KL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/61PanCTqcWL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/51ha1F+No4L._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/71myIp3aQ-L._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/61CqxJb5d4L._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/61KH4OauKnL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/51+rwefNn4L._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/51dygxA+HcL.jpg, https://m.media-amazon.com/images/I/81lRYtNfU2L._AC_UF1000,1000_QL80_.jpg"
244,A Study in Scarlet by Arthur Conan Doyle,"Doyle, Arthur Conan, 1859-1930","Doyle, Arthur Conan, 1859-1930",69,"76, 150, 1123, 1702", 30,English,"Apr 1, 1995","Apr 17, 2023",8537,https://www.gutenberg.org/ebooks/244.epub.noimages,True,No description available,"https://m.media-amazon.com/images/I/61MfPAYL1pL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/716WX1pmNzS._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/71sCc+qgmFL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/71VUAs1bCcS._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/51lMTq0jhVL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/91pGj4UjxfL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/41UyTUqDYFL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/71PZ3TS4yBL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/61TBTzcH3sS._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/71MrzTK3kSL._AC_UF1000,1000_QL80_.jpg"
14859,Daddy Takes Us to the Garden by Howard Roger Garis,"Garis, Howard Roger, 1873-1962","Garis, Howard Roger, 1873-1962",808,"2361, 13050"," 17, 43",English,"Feb 1, 2005","Dec 19, 2020",10497,https://www.gutenberg.org/ebooks/14859.epub.noimages,True,No description available,"https://m.media-amazon.com/images/I/51ESIFE8xVL.jpg, https://m.media-amazon.com/images/I/41aJvXO-BML._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/719oj5C2-QL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/719oj5C2-QL._AC_UF350,350_QL50_.jpg, https://m.media-amazon.com/images/I/31iuV99T+wL._AC_UF350,350_QL80_.jpg, https://m.media-amazon.com/images/I/719oj5C2-QL.jpg"
18600,Mi Ultimo Adiós by José Rizal,"Rizal, José, 1861-1896","Rizal, José, 1861-1896",2183,13,,Spanish,"Jun 16, 2006",No recently updated date available,4324,https://www.gutenberg.org/ebooks/18600.epub.noimages,True,No description available,"https://m.media-amazon.com/images/I/51TDH4yD+bL.jpg, https://m.media-amazon.com/images/I/712wa9MNNkL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/512TM88Z0LL.jpg, https://m.media-amazon.com/images/I/81Ss-60MYpL._AC_UF1000,1000_QL80_.jpg, https://prodimage.images-bn.com/lf?set=key%5Bresolve.pixelRatio%5D,value%5B1%5D&set=key%5Bresolve.width%5D,value%5B300%5D&set=key%5Bresolve.height%5D,value%5B10000%5D&set=key%5Bresolve.imageFit%5D,value%5Bcontainerwidth%5D&set=key%5Bresolve.allowImageUpscaling%5D,value%5B0%5D&set=key%5Bresolve.format%5D,value%5Bwebp%5D&source=url%5Bhttps://prodimage.images-bn.com/pimages/9780143039693_p0_v1_s600x595.jpg%5D&scale=options%5Blimit%5D,size%5B300x10000%5D&sink=format%5Bwebp%5D, https://prodimage.images-bn.com/lf?set=key%5Bresolve.pixelRatio%5D,value%5B1%5D&set=key%5Bresolve.width%5D,value%5B300%5D&set=key%5Bresolve.height%5D,value%5B10000%5D&set=key%5Bresolve.imageFit%5D,value%5Bcontainerwidth%5D&set=key%5Bresolve.allowImageUpscaling%5D,value%5B0%5D&set=key%5Bresolve.format%5D,value%5Bwebp%5D&source=url%5Bhttps://prodimage.images-bn.com/pimages/9781623092672_p0_v1_s600x595.jpg%5D&scale=options%5Blimit%5D,size%5B300x10000%5D&sink=format%5Bwebp%5D, https://prodimage.images-bn.com/lf?set=key%5Bresolve.pixelRatio%5D,value%5B1%5D&set=key%5Bresolve.width%5D,value%5B300%5D&set=key%5Bresolve.height%5D,value%5B10000%5D&set=key%5Bresolve.imageFit%5D,value%5Bcontainerwidth%5D&set=key%5Bresolve.allowImageUpscaling%5D,value%5B0%5D&set=key%5Bresolve.format%5D,value%5Bwebp%5D&source=url%5Bhttps://prodimage.images-bn.com/pimages/9780143106395_p0_v1_s600x595.jpg%5D&scale=options%5Blimit%5D,size%5B300x10000%5D&sink=format%5Bwebp%5D, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1262858128i/592719.jpg"
2554,Crime and Punishment by Fyodor Dostoyevsky,"Dostoyevsky, Fyodor, 1821-1881","Dostoyevsky, Fyodor, 1821-1881, Garnett, Constance, 1861-1946","314, 2858","1123, 2430, 3523, 3550, 34776"," 13, 28, 40",English,"Mar 28, 2006","Aug 5, 2021",19653,https://www.gutenberg.org/ebooks/2554.epub.noimages,True,No description available,"https://m.media-amazon.com/images/I/71AUsdz3ZaL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/51oTIJnjggL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/81bAXZAp-GL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/71LzXYVEEfL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/815wlgG0CPL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/81EcXiV-9WL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/91nIpD8SpgL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/81-nIRZKh5L._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/41rj8kQZ2kL.jpg, https://m.media-amazon.com/images/I/71Djqom1jRL._AC_UF1000,1000_QL80_.jpg"
2000,Don Quijote by Miguel de Cervantes Saavedra,"Cervantes Saavedra, Miguel de, 1547-1616","Cervantes Saavedra, Miguel de, 1547-1616",505,"763, 764, 2543, 7405"," 13, 40, 420",Spanish,"Dec 1, 1999","Jan 17, 2021",15568,https://www.gutenberg.org/ebooks/2000.epub.noimages,True,No description available,"https://m.media-amazon.com/images/I/71fAiA2evHL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/71fAiA2evHL._AC_UF350,350_QL50_.jpg, https://m.media-amazon.com/images/I/91iSVbiAIiL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/71XRydbcC2L._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/61dd4wY+1+L._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/71cvGVuCKhL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/71bxr58KtzL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/71ci332XIVL._AC_UF1000,1000_QL80_.jpg"
46633,"The ""Characters"" of Jean de La Bruyère by Jean de La Bruyère","La Bruyère, Jean de, 1645-1696","La Bruyère, Jean de, 1645-1696, Van Laun, Henri, 1820-1896","7736, 43884","5610, 13390",,English,"Aug 19, 2014",No recently updated date available,786,https://www.gutenberg.org/ebooks/46633.epub.noimages,True,No description available,"https://m.media-amazon.com/images/I/618Gqx38gfL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/61g5bcMhYjL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/81hB5wNaQWL._AC_UF894,1000_QL80_.jpg, https://m.media-amazon.com/images/I/71-SJiOzmtL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/618Gqx38gfL._AC_UF350,350_QL50_.jpg, https://m.media-amazon.com/images/I/61eV-jktVGL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/81t7FFmvhTL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/71a3bNGWkBL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/71FGjOVnFBL._AC_UF1000,1000_QL80_.jpg"
