Book ID,Title,Author,Authors,Author IDs,Category,Bookshelf,Language,Release Date,Most Recently Updated,Downloads,Download Link,Is Public Domain,Description,Cover URLs
408,The Souls of Black Folk by W. E. B. Du Bois,"Du Bois, W. E. B. (William Edward Burghardt), 1868-1963","Du Bois, W. E. B. (William Edward Burghardt), 1868-1963",226,125, 6,English,"Jan 1, 1996","Aug 11, 2021",7410,https://www.gutenberg.org/ebooks/408.epub.noimages,True,No description available,"https://m.media-amazon.com/images/I/71x6h1DXS1L._AC_UF1000,1000_QL80_.jpg, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1309202855i/318742.jpg, https://m.media-amazon.com/images/I/71rtUl4DsDL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/61raOLk4v1L._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/41eV6BJrJwL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/517NtNNAIXL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/815Q7EDXVhL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/7112VXQwBEL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/71j2UHEsofL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/61Jex0wHULL._AC_UF1000,1000_QL80_.jpg"
5200,Metamorphosis by Franz Kafka,"Kafka, Franz, 1883-1924","Kafka, Franz, 1883-1924, Wyllie, David (Translator)","1735, 1736","2430, 7111", 42,English,"Aug 17, 2005","Apr 28, 2021",20235,https://www.gutenberg.org/ebooks/5200.epub.noimages,False,No description available,"https://m.media-amazon.com/images/I/71cYYoOq68L._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/61duMveetsL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/71Y1HjOy5uL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/61Lq6n3EFSL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/8120siXkUGL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/A1ZtJM4FdkL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/41jHK+XrpnL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/81W5L5F0ThL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/31fgP1AgyjL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/A1u5FnrhsfL._AC_UF1000,1000_QL80_.jpg"
174,The Picture of Dorian Gray by Oscar Wilde,"Wilde, Oscar, 1854-1900","Wilde, Oscar, 1854-1900",111,"510, 1221, 2526, 2700, 2701, 2702, 2703, 3582"," 39, 49",English,"Oct 1, 1994","Feb 3, 2022",19626,https://www.gutenberg.org/ebooks/174.epub.noimages,True,No description available,"https://m.media-amazon.com/images/I/617zrJ8zv3L._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/71T0v8w-rAL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/41VNT4E0rXL.jpg, https://m.media-amazon.com/images/I/7155ggvlbTL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/61FdXlJX0-L._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/51WtARLM0LL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/51hVZnD0IaL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/6132+9E2CcL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/813ibr8SwuL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/51YIQKHQg+L._AC_UF1000,1000_QL80_.jpg"
2600,War and Peace by graf Leo Tolstoy,"Tolstoy, Leo, graf, 1828-1910","Tolstoy, Leo, graf, 1828-1910, Maude, Aylmer, 1858-1938, Maude, Louise, 1855-1939","136, 4589, 500","60, 808, 3301, 3302, 15214"," 149, 56, 41, 13, 49",English,"Apr 1, 2001","Jun 14, 2022",12049,https://www.gutenberg.org/ebooks/2600.epub.noimages,True,No description available,"https://m.media-amazon.com/images/I/51ymW6oVjuL.jpg, https://m.media-amazon.com/images/I/71CWN-K3d-L._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/51xAnsbt6cL.jpg, https://m.media-amazon.com/images/I/518qJ+Zf9cL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/51315P4liGL.jpg, https://m.media-amazon.com/images/I/51Q-za6VQjL.jpg, https://m.media-amazon.com/images/I/71LM-Ozg7iL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/71WnovW7JHL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/51cZY7PCwiL.jpg, https://m.media-amazon.com/images/I/61o3Ma+CnEL._AC_UF1000,1000_QL80_.jpg"
996,Don Quixote by Miguel de Cervantes Saavedra,"Cervantes Saavedra, Miguel de, 1547-1616","Cervantes Saavedra, Miguel de, 1547-1616, Ormsby, John, 1829-1895","505, 506","763, 764, 2543, 7405"," 13, 40",English,"Jul 27, 2004","Mar 30, 2023",9449,https://www.gutenberg.org/ebooks/996.epub.noimages,True,No description available,"https://m.media-amazon.com/images/I/71fAiA2evHL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/71XRydbcC2L._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/71cvGVuCKhL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/71bxr58KtzL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/91iSVbiAIiL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/51YbNCqNbYL.jpg, https://m.media-amazon.com/images/I/61dd4wY+1+L._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/71ci332XIVL._AC_UF1000,1000_QL80_.jpg"
73867,The long way by Mary Imlay Taylor,"Taylor, Mary Imlay, 1878-1938","Taylor, Mary Imlay, 1878-1938",48463,"2489, 3322, 4828, 27561",,English,"Jun 19, 2024",No recently updated date available,887,https://www.gutenberg.org/ebooks/73867.epub.noimages,True,No description available,No cover URLs available
100,The Complete Works of William Shakespeare by William Shakespeare,"Shakespeare, William, 1564-1616","Shakespeare, William, 1564-1616",65,14722, 59,English,"Jan 1, 1994","Jan 18, 2024",50455,https://www.gutenberg.org/ebooks/100.epub.noimages,True,No description available,"http://prodimage.images-bn.com/pimages/9781435154476_p0_v1_s1200x630.jpg, https://m.media-amazon.com/images/I/71FBP4RbroL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/51lEv8uBGdL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/81pHfDmYcyL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/91k0J5YN9yL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/51J6TXA7VFL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/91i7umVBqiL._AC_UF350,350_QL80_.jpg, https://prodimage.images-bn.com/lf?set=key%5Bresolve.pixelRatio%5D,value%5B1%5D&set=key%5Bresolve.width%5D,value%5B300%5D&set=key%5Bresolve.height%5D,value%5B10000%5D&set=key%5Bresolve.imageFit%5D,value%5Bcontainerwidth%5D&set=key%5Bresolve.allowImageUpscaling%5D,value%5B0%5D&set=key%5Bresolve.format%5D,value%5Bwebp%5D&source=url%5Bhttps://prodimage.images-bn.com/pimages/9781435154476_p0_v1_s600x595.jpg%5D&scale=options%5Blimit%5D,size%5B300x10000%5D&sink=format%5Bwebp%5D, https://m.media-amazon.com/images/I/81vVNZbCtCL._AC_UF1000,1000_QL80_.jpg"
26471,Spoon River Anthology by Edgar Lee Masters,"Masters, Edgar Lee, 1868-1950","Masters, Edgar Lee, 1868-1950",584,1036,,English,"Sep 1, 2008","Jun 28, 2023",6720,,True,No description available,"https://m.media-amazon.com/images/I/51tePpMYPFL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/71kkyEBWzsL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/51zEuAPjOrL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/61LWSvPFvHL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/51ezkojfqrL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/51dU9useZgL.jpg, https://m.media-amazon.com/images/I/51Qk4GQmtaL.jpg, https://m.media-amazon.com/images/I/61R54yxiY0L._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/31MZOkxgGqL._AC_UF1000,1000_QL80_.jpg"
11,Alice's Adventures in Wonderland by Lewis Carroll,"Carroll, Lewis, 1832-1898","Carroll, Lewis, 1832-1898",7,"138, 1415, 4873, 31575", 20,English,"Jun 27, 2008","Feb 4, 2024",36722,https://www.gutenberg.org/ebooks/11.epub.noimages,True,No description available,"https://m.media-amazon.com/images/I/71Dp8bBO+NL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/51wL7XSp9ZL.jpg, https://m.media-amazon.com/images/I/81ng-K2Ad-L._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/414HeWmf6rL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/61x2TBexsmL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/517UzEiCrJL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/515OCaOxITL.jpg, https://m.media-amazon.com/images/I/718wI1fKobL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/718FPvKFKjL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/81SIPxIXYrL._AC_UF1000,1000_QL80_.jpg"
31552,Novo dicionário da língua portuguesa by Cândido de Figueiredo,"Figueiredo, Cândido de, 1846-1925","Figueiredo, Cândido de, 1846-1925",9395,19015,,Portuguese,"Mar 8, 2010","Jan 6, 2021",7635,https://www.gutenberg.org/ebooks/31552.epub.noimages,True,No description available,No cover URLs available
